<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGCY.US,60,20240926,170000,3.6,4.35,3.6,4.13,466369,0
LGCY.US,60,20240926,180000,4.1,4.3,4.1,4.1,44162,0
LGCY.US,60,20240926,190000,4.1,4.38,4.04,4.085,52027,0
LGCY.US,60,20240926,200000,4.04,4.41,4,4.25,71171,0
LGCY.US,60,20240926,210000,4.195,4.2,4.08,4.15,8526,0
LGCY.US,60,20240926,220000,4.15,4.25,4.02,4.02,48998,0
LGCY.US,60,20240927,160000,4.3,4.43,4.13,4.315,53907,0
LGCY.US,60,20240927,170000,4.4,4.4,4.12,4.2,43377,0
LGCY.US,60,20240927,180000,4.1928,4.35,4.18,4.3435,34647,0
LGCY.US,60,20240927,190000,4.3791,4.47,4.3,4.41,44664,0
LGCY.US,60,20240927,200000,4.4,4.515,4.4,4.505,5165,0
LGCY.US,60,20240927,210000,4.505,4.79,4.41,4.51,44587,0
LGCY.US,60,20240927,220000,4.6,4.6591,4.25,4.39,32069,0
LGCY.US,60,20240930,160000,4.5424,4.68,4.525,4.68,16304,0
LGCY.US,60,20240930,170000,4.5904,4.7972,4.57,4.6882,11765,0
LGCY.US,60,20240930,180000,4.79,4.88,4.67,4.88,5934,0
LGCY.US,60,20240930,190000,4.88,4.93,4.67,4.705,14073,0
LGCY.US,60,20240930,200000,4.67,4.67,4.63,4.67,546,0
LGCY.US,60,20240930,210000,4.64,4.645,4.5,4.56,24936,0
LGCY.US,60,20240930,220000,4.52,4.78,4.39,4.6001,26887,0
LGCY.US,60,20241001,160000,4.43,4.43,4.31,4.37,3973,0
LGCY.US,60,20241001,170000,4.32,4.575,4.32,4.51,16213,0
LGCY.US,60,20241001,180000,4.5061,4.8,4.5061,4.54,10420,0
LGCY.US,60,20241001,190000,4.57,4.57,4.44,4.44,3907,0
LGCY.US,60,20241001,200000,4.58,4.68,4.49,4.5,9609,0
LGCY.US,60,20241001,210000,4.76,4.76,4.5,4.55,12710,0
LGCY.US,60,20241001,220000,4.55,4.7596,4.5069,4.6756,22482,0
LGCY.US,60,20241002,160000,4.5503,4.7,4.5503,4.6417,9625,0
LGCY.US,60,20241002,170000,4.58,4.6694,4.57,4.6694,1200,0
LGCY.US,60,20241002,180000,4.6,4.6785,4.51,4.6785,23821,0
LGCY.US,60,20241002,190000,4.6,4.6742,4.33,4.494,7423,0
LGCY.US,60,20241002,200000,4.45,4.54,4.36,4.54,10994,0
LGCY.US,60,20241002,210000,4.56,4.68,4.5001,4.6799,14425,0
LGCY.US,60,20241002,220000,4.58,4.65,4.37,4.65,5782,0
LGCY.US,60,20241003,160000,4.54,4.54,4.54,4.54,200,0
LGCY.US,60,20241003,170000,4.65,4.65,4.65,4.65,100,0
LGCY.US,60,20241003,180000,4.79,4.79,4.79,4.79,100,0
LGCY.US,60,20241003,190000,4.77,4.77,4.77,4.77,100,0
LGCY.US,60,20241003,210000,4.7785,4.7785,4.77,4.77,1274,0
LGCY.US,60,20241003,220000,4.77,4.77,4.77,4.77,100,0
LGCY.US,60,20241004,160000,4.8,4.8,4.8,4.8,583,0
LGCY.US,60,20241004,170000,4.61,4.64,4.61,4.64,300,0
LGCY.US,60,20241004,180000,4.6006,4.6006,4.545,4.545,1631,0
LGCY.US,60,20241004,190000,4.5501,4.7,4.5201,4.69,16276,0
LGCY.US,60,20241004,200000,4.65,4.99,4.52,4.77,63220,0
LGCY.US,60,20241004,210000,4.81,4.88,4.77,4.87,15137,0
LGCY.US,60,20241004,220000,4.81,4.87,4.8,4.87,11557,0
LGCY.US,60,20241007,160000,4.89,4.97,4.8314,4.96,38406,0
LGCY.US,60,20241007,170000,4.9565,5.37,4.9,5.2,84247,0
LGCY.US,60,20241007,180000,5.165,5.53,5.0982,5.4157,21826,0
LGCY.US,60,20241007,190000,5.5167,5.6,5.2942,5.465,22551,0
LGCY.US,60,20241007,200000,5.465,5.6,5.465,5.6,6391,0
LGCY.US,60,20241007,210000,5.53,5.57,5.3,5.3001,41359,0
LGCY.US,60,20241007,220000,5.312,5.3351,5.06,5.07,19158,0
LGCY.US,60,20241008,160000,5.28,5.4,5.28,5.4,15901,0
LGCY.US,60,20241008,170000,5.43,5.535,5.37,5.45,4660,0
LGCY.US,60,20241008,180000,5.61,5.61,5.5,5.6,14619,0
LGCY.US,60,20241008,190000,5.6199,5.62,5.4943,5.62,12058,0
LGCY.US,60,20241008,200000,5.6387,5.72,5.55,5.585,17162,0
LGCY.US,60,20241008,210000,5.5552,5.72,5.5501,5.68,10206,0
LGCY.US,60,20241008,220000,5.6665,5.7,5.48,5.62,20204,0
LGCY.US,60,20241009,160000,5.79,6.25,5.62,5.95,34061,0
LGCY.US,60,20241009,170000,6.015,6.13,5.91,5.94,14956,0
LGCY.US,60,20241009,180000,5.94,6.1139,5.85,6.02,16411,0
LGCY.US,60,20241009,190000,5.95,6.1124,5.95,6,8602,0
LGCY.US,60,20241009,200000,6,6.12,5.8,5.81,17080,0
LGCY.US,60,20241009,210000,5.8105,6,5.8,5.84,12041,0
LGCY.US,60,20241009,220000,5.88,5.88,5.7,5.75,38152,0
LGCY.US,60,20241010,160000,5.88,6.13,5.715,5.715,12533,0
LGCY.US,60,20241010,170000,5.6728,5.8,5.6001,5.7142,7798,0
LGCY.US,60,20241010,180000,5.75,5.8811,5.71,5.8807,7100,0
LGCY.US,60,20241010,190000,5.73,5.78,5.7,5.775,16829,0
LGCY.US,60,20241010,200000,5.75,5.85,5.7,5.72,13523,0
LGCY.US,60,20241010,210000,5.75,5.76,5.7428,5.7428,1080,0
LGCY.US,60,20241010,220000,5.8178,5.8819,5.74,5.75,8667,0
LGCY.US,60,20241011,160000,5.89,5.89,5.72,5.75,6238,0
LGCY.US,60,20241011,170000,5.89,5.905,5.76,5.819,13648,0
LGCY.US,60,20241011,180000,5.75,5.77,5.75,5.77,300,0
