<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGPS.US,60,20250325,170000,4.77,5.39,4.5,5.39,419006,0
LGPS.US,60,20250325,180000,5.25,5.29,4.82,4.86,186103,0
LGPS.US,60,20250325,190000,4.86,4.9333,3.54,3.76,119615,0
LGPS.US,60,20250325,200000,3.77,4.47,3.26,3.76,209540,0
LGPS.US,60,20250325,210000,3.76,4.65,3.5,3.7,394792,0
LGPS.US,60,20250326,150000,3.9,3.9899,3.03,3.12,46251,0
LGPS.US,60,20250326,160000,3.02,3.3562,2.4,2.61,236445,0
LGPS.US,60,20250326,170000,2.58,3.18,2.56,2.7246,180673,0
LGPS.US,60,20250326,180000,2.72,2.7206,2.36,2.41,109922,0
LGPS.US,60,20250326,190000,2.4,2.49,2.05,2.11,96949,0
LGPS.US,60,20250326,200000,2.1153,2.21,1.58,1.58,147055,0
LGPS.US,60,20250326,210000,1.41,1.78,1.41,1.65,313566,0
LGPS.US,60,20250327,150000,1.6757,1.6757,1.43,1.51,51032,0
LGPS.US,60,20250327,160000,1.49,1.55,1.33,1.49,153762,0
LGPS.US,60,20250327,170000,1.49,1.6,1.42,1.552,198973,0
LGPS.US,60,20250327,180000,1.5502,1.5795,1.5,1.5681,19685,0
LGPS.US,60,20250327,190000,1.52,2.55,1.52,2.37,596288,0
LGPS.US,60,20250327,200000,2.37,2.75,2.14,2.54,340248,0
LGPS.US,60,20250327,210000,2.59,2.8,2.14,2.7652,204440,0
LGPS.US,60,20250328,150000,2.6201,2.65,2.4,2.4,18468,0
LGPS.US,60,20250328,160000,2.41,2.53,2.4,2.4017,18476,0
LGPS.US,60,20250328,170000,2.4009,2.41,2.4,2.4,11022,0
LGPS.US,60,20250328,180000,2.4009,2.75,2.4009,2.75,15454,0
LGPS.US,60,20250328,190000,2.67,2.7331,2.67,2.68,3223,0
LGPS.US,60,20250328,200000,2.71,2.71,2.61,2.61,2976,0
LGPS.US,60,20250328,210000,2.6,2.74,2.6,2.65,14639,0
LGPS.US,60,20250331,160000,2.46,2.462,2.46,2.462,1921,0
