<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEN.US,60,20240412,210000,71.47,71.47,71.47,71.47,100,0
NEN.US,60,20240412,220000,69.4583,69.4583,69.4583,69.4583,100,0
NEN.US,60,20240415,200000,69.75,69.9975,69.75,69.9975,1000,0
NEN.US,60,20240416,180000,69.48,69.48,69.1026,69.1026,230,0
NEN.US,60,20240417,170000,70,70,70,70,500,0
NEN.US,60,20240417,220000,70,70,70,70,200,0
NEN.US,60,20240419,160000,70,70,70,70,100,0
NEN.US,60,20240419,220000,69.3674,69.65,69.11,69.15,2052,0
NEN.US,60,20240501,210000,70,70,70,70,200,0
NEN.US,60,20240501,220000,69.57,69.57,69.57,69.57,100,0
NEN.US,60,20240502,170000,70,70,69.6567,69.6567,500,0
NEN.US,60,20240502,180000,70,70,70,70,100,0
NEN.US,60,20240502,220000,69.695,69.695,69.695,69.695,200,0
NEN.US,60,20240503,160000,70.23,70.23,70.23,70.23,100,0
NEN.US,60,20240507,170000,70,70.24,70,70.24,311,0
NEN.US,60,20240507,220000,70.2356,70.2356,70,70,302,0
NEN.US,60,20240508,210000,69.4543,69.4543,69.4543,69.4543,555,0
NEN.US,60,20240509,160000,69.16,69.16,69.16,69.16,200,0
NEN.US,60,20240509,170000,70.39,70.98,70.39,70.98,400,0
NEN.US,60,20240509,180000,70.98,70.98,70.4003,70.4003,696,0
NEN.US,60,20240510,220000,71,71.4,70.5,70.5,325,0
NEN.US,60,20240513,200000,71.6,71.6,71,71,250,0
NEN.US,60,20240513,220000,71.5,71.5,71.5,71.5,467,0
NEN.US,60,20240514,180000,71.5,71.5,71.5,71.5,200,0
NEN.US,60,20240514,200000,71.55,71.55,71.55,71.55,100,0
NEN.US,60,20240514,220000,71.5,71.5,71.5,71.5,300,0
NEN.US,60,20240515,170000,71.5,71.5,71.5,71.5,100,0
NEN.US,60,20240515,180000,71.4971,71.4971,71.4,71.4,226,0
NEN.US,60,20240515,190000,71.6,71.75,71.575,71.75,700,0
NEN.US,60,20240515,220000,71.75,71.75,71.75,71.75,100,0
NEN.US,60,20240516,170000,71.625,71.625,71.625,71.625,537,0
NEN.US,60,20240516,220000,71.55,71.55,71.5,71.5001,485,0
NEN.US,60,20240517,160000,71.5,71.51,71.5,71.5,990,0
NEN.US,60,20240521,180000,70.85,70.85,70.85,70.85,139,0
NEN.US,60,20240523,170000,71.95,71.95,71.95,71.95,100,0
NEN.US,60,20240524,160000,71.5,71.5,71.5,71.5,200,0
NEN.US,60,20240530,210000,71.5,71.95,71.5,71.95,1505,0
NEN.US,60,20240531,160000,71.5,71.5,71.5,71.5,700,0
NEN.US,60,20240531,170000,71.5,71.5,71.5,71.5,225,0
NEN.US,60,20240605,220000,71.725,71.95,71.725,71.95,600,0
NEN.US,60,20240606,180000,71.75,71.75,71.75,71.75,200,0
NEN.US,60,20240610,190000,71.75,71.75,71.75,71.75,300,0
NEN.US,60,20240611,210000,71.75,71.85,71.5,71.85,1177,0
NEN.US,60,20240611,220000,71.9,71.9,71.5,71.5,350,0
NEN.US,60,20240612,210000,71.6834,71.85,71.6834,71.85,550,0
NEN.US,60,20240614,180000,70.76,70.76,70.76,70.76,100,0
NEN.US,60,20240620,210000,70.79,70.79,70.79,70.79,100,0
NEN.US,60,20240621,160000,71,71,71,71,119,0
NEN.US,60,20240621,220000,71.5,71.5,71.5,71.5,212,0
NEN.US,60,20240624,170000,70.58,70.58,70.58,70.58,600,0
NEN.US,60,20240702,190000,70.98,71.188,70.5,70.5,380,0
NEN.US,60,20240703,160000,70.04,70.5,67.5,70.5,1020,0
NEN.US,60,20240703,170000,70.5,70.5,70.5,70.5,200,0
NEN.US,60,20240705,190000,70.75,70.75,70.75,70.75,600,0
NEN.US,60,20240705,220000,70.35,70.7,70.35,70.7,1372,0
NEN.US,60,20240710,180000,71.47,71.47,71.47,71.47,100,0
NEN.US,60,20240710,200000,71.45,71.45,71.45,71.45,100,0
NEN.US,60,20240710,210000,71.45,71.45,71.45,71.45,181,0
NEN.US,60,20240710,220000,71.45,71.45,71.45,71.45,100,0
NEN.US,60,20240718,200000,71.35,71.35,71.32,71.35,500,0
NEN.US,60,20240718,210000,71.5,71.5,71.5,71.5,968,0
NEN.US,60,20240722,170000,70.5,70.5,70.5,70.5,100,0
NEN.US,60,20240726,180000,69.46,71.5,69.46,70.35,852,0
NEN.US,60,20240726,210000,70,71.25,70,71.25,700,0
NEN.US,60,20240729,160000,71.5,71.5,71.5,71.5,108,0
NEN.US,60,20240729,170000,70.9608,71.5,70.9608,71.25,325,0
NEN.US,60,20240729,180000,71.35,71.35,71.35,71.35,100,0
NEN.US,60,20240729,210000,71.5,71.5,70.5,70.5,1070,0
NEN.US,60,20240802,220000,71.25,71.25,70.5,70.5,373,0
NEN.US,60,20240807,180000,70.4509,70.4509,70.4509,70.4509,150,0
NEN.US,60,20240808,220000,69.84,69.84,68.975,69.75,420,0
NEN.US,60,20240809,170000,70.5,70.5,70.5,70.5,100,0
NEN.US,60,20240809,220000,70.4999,75.02,70.45,75,5946,0
NEN.US,60,20240812,160000,75,76,75,75.8831,522,0
NEN.US,60,20240812,170000,75.5474,75.5474,75.5474,75.5474,100,0
NEN.US,60,20240812,180000,75.2783,75.2783,75.2783,75.2783,222,0
NEN.US,60,20240813,200000,75.05,76.0912,75.05,76.0912,622,0
NEN.US,60,20240813,210000,76,76,75.05,75.05,306,0
NEN.US,60,20240813,220000,75.2823,75.69,75.2823,75.69,449,0
NEN.US,60,20240814,160000,75.5001,75.5001,75.5001,75.5001,163,0
NEN.US,60,20240815,180000,77.2499,77.2499,77.2499,77.2499,162,0
NEN.US,60,20240815,210000,76.01,76.5134,76.01,76.5134,200,0
NEN.US,60,20240815,220000,76.2163,76.2163,76,76,1295,0
NEN.US,60,20240816,160000,75.51,75.51,75.51,75.51,500,0
NEN.US,60,20240816,220000,77.25,77.25,76.1,76.1,300,0
NEN.US,60,20240819,170000,76.1,76.1,76.1,76.1,120,0
NEN.US,60,20240819,180000,77.2499,77.2499,77.2499,77.2499,200,0
NEN.US,60,20240819,210000,77.1,77.1,77.1,77.1,200,0
NEN.US,60,20240819,220000,76.1,77.1,76.1,76.1,847,0
NEN.US,60,20240820,200000,75.5,75.5,75.5,75.5,200,0
NEN.US,60,20240822,170000,77.25,77.25,77.25,77.25,349,0
NEN.US,60,20240822,180000,78,78.4998,77.8,77.8,417,0
NEN.US,60,20240822,190000,78.5,78.5,78.5,78.5,100,0
NEN.US,60,20240822,210000,78.5,78.5,78.5,78.5,200,0
NEN.US,60,20240822,220000,77.5,77.5,77.5,77.5,100,0
NEN.US,60,20240823,160000,77,77,77,77,421,0
NEN.US,60,20240823,170000,77,79,77,77,500,0
NEN.US,60,20240826,190000,78.875,78.875,78.875,78.875,100,0
NEN.US,60,20240826,210000,78,78,78,78,186,0
NEN.US,60,20240828,200000,78.05,78.05,78.05,78.05,100,0
NEN.US,60,20240829,220000,79.4999,79.4999,79.46,79.46,277,0
NEN.US,60,20240830,190000,79.34,79.34,79.34,79.34,175,0
NEN.US,60,20240830,200000,79.95,79.95,79.95,79.95,100,0
NEN.US,60,20240830,210000,79.94,79.94,79.94,79.94,100,0
NEN.US,60,20240830,220000,80.25,80.25,80.25,80.25,427,0
NEN.US,60,20240904,170000,81,81,81,81,500,0
NEN.US,60,20240904,210000,80.1,80.1,80.1,80.1,200,0
NEN.US,60,20240904,220000,79.01,80.95,78.51,80.95,1052,0
NEN.US,60,20240905,180000,80.01,80.01,80.01,80.01,200,0
NEN.US,60,20240906,220000,78.1,81,78.01,81,1032,0
NEN.US,60,20240909,170000,81,81,81,81,402,0
NEN.US,60,20240909,220000,81,81,81,81,237,0
NEN.US,60,20240910,160000,81.5,81.5,81.5,81.5,558,0
NEN.US,60,20240910,210000,81.5001,81.5001,81.5001,81.5001,100,0
NEN.US,60,20240910,220000,81.5,81.5,81.5,81.5,100,0
NEN.US,60,20240912,160000,78.5,78.5,78.5,78.5,200,0
NEN.US,60,20240912,210000,81,81,81,81,200,0
NEN.US,60,20240919,220000,81.5,81.5,81.5,81.5,176,0
NEN.US,60,20240920,190000,80.5,80.5,80.5,80.5,200,0
NEN.US,60,20240920,210000,81.5,81.5,81.5,81.5,100,0
NEN.US,60,20240920,220000,81.5,81.5,81.5,81.5,200,0
NEN.US,60,20240923,190000,79,79.03,79,79,816,0
NEN.US,60,20240923,220000,80.0001,83,80.0001,83,200,0
NEN.US,60,20241002,210000,80,80,80,80,300,0
NEN.US,60,20241004,220000,82,84,80.98,81,691,0
NEN.US,60,20241009,180000,82.96,82.96,82.96,82.96,100,0
NEN.US,60,20241014,200000,79.97,81.83,79.97,81.83,700,0
NEN.US,60,20241017,190000,79,79,79,79,103,0
NEN.US,60,20241023,160000,79,79,79,79,100,0
NEN.US,60,20241025,170000,76.0001,79.32,76.0001,79.32,300,0
NEN.US,60,20241025,180000,81.99,81.99,81.99,81.99,100,0
NEN.US,60,20241028,210000,82.5,82.5,82.5,82.5,100,0
NEN.US,60,20241104,200000,80.5,80.5,76.5,76.5,1312,0
NEN.US,60,20241108,220000,79,82.48,79,82.47,800,0
NEN.US,60,20241114,180000,80.9499,80.95,79.58,80.95,2880,0
NEN.US,60,20241115,210000,81,81,79.808,79.808,1000,0
NEN.US,60,20241118,160000,81.25,81.2501,81.25,81.2501,200,0
NEN.US,60,20241118,170000,79.55,79.55,79.55,79.55,100,0
NEN.US,60,20241119,210000,82.49,82.49,82.49,82.49,100,0
NEN.US,60,20241127,170000,82.49,82.49,82.45,82.45,200,0
NEN.US,60,20241127,180000,82.42,82.47,82.42,82.47,300,0
NEN.US,60,20241202,190000,82.42,82.74,82.26,82.74,700,0
NEN.US,60,20241203,180000,82.7,82.7,82.7,82.7,200,0
NEN.US,60,20241203,220000,82.7,82.7,82.7,82.7,108,0
NEN.US,60,20241206,160000,82.1,82.1,82.1,82.1,175,0
NEN.US,60,20241206,170000,82.7,82.7,82.7,82.7,100,0
NEN.US,60,20241212,220000,82.7,82.7,80.59,80.59,200,0
NEN.US,60,20241227,180000,77.2,77.2,77.2,77.2,100,0
NEN.US,60,20241227,190000,77.2,77.2,77.2,77.2,100,0
NEN.US,60,20241230,170000,82.7,82.7,82.7,82.7,100,0
NEN.US,60,20250108,220000,83.1,83.14,83.1,83.14,200,0
NEN.US,60,20250117,190000,80.8829,80.8829,80.8829,80.8829,552,0
NEN.US,60,20250121,220000,83,83,82.7,82.7,400,0
NEN.US,60,20250122,200000,82.7,82.7,82.7,82.7,100,0
NEN.US,60,20250122,210000,81.68,83,81.68,83,200,0
NEN.US,60,20250211,170000,79.04,79.04,79.04,79.04,102,0
NEN.US,60,20250212,210000,82,82,82,82,109,0
NEN.US,60,20250226,200000,78.15,78.15,78.15,78.15,162,0
NEN.US,60,20250226,220000,78.2331,78.2331,78.2331,78.2331,1419,0
NEN.US,60,20250227,200000,79.01,79.01,79.01,79.01,200,0
NEN.US,60,20250305,180000,77.01,77.01,71.01,72.91,4390,0
NEN.US,60,20250305,190000,76.01,77.01,76.01,77.01,200,0
NEN.US,60,20250312,150000,73.8507,73.8507,73.8507,73.8507,230,0
NEN.US,60,20250313,170000,78.16,80.25,78.16,80.25,1857,0
NEN.US,60,20250314,160000,82.3,82.3,82.3,82.3,100,0
NEN.US,60,20250314,170000,82.25,82.5,82.25,82.5,800,0
NEN.US,60,20250318,210000,82.53,82.53,81.69,81.69,276,0
NEN.US,60,20250319,150000,82.4458,82.4458,82.4458,82.4458,395,0
NEN.US,60,20250319,160000,82.45,84,82.45,82.75,4390,0
NEN.US,60,20250319,190000,83.2322,83.2322,83.0001,83.0001,300,0
NEN.US,60,20250320,200000,84,84,83.3297,83.75,718,0
NEN.US,60,20250321,170000,83.9,83.9,83.9,83.9,200,0
NEN.US,60,20250325,160000,80.4436,80.4436,80.4436,80.4436,404,0
NEN.US,60,20250325,210000,78.36,78.36,78.36,78.36,155,0
NEN.US,60,20250326,150000,77.05,77.05,77.05,77.05,100,0
NEN.US,60,20250331,200000,81.5344,81.5344,81.5344,81.5344,158,0
NEN.US,60,20250401,220000,79.95,79.95,79.95,79.95,156,0
NEN.US,60,20250402,180000,80.0001,80.0001,80,80,820,0
NEN.US,60,20250402,190000,79.505,79.505,79.505,79.505,100,0
NEN.US,60,20250404,200000,80,80,79.975,79.975,300,0
NEN.US,60,20250409,180000,80,80,77.63,77.63,525,0
NEN.US,60,20250409,220000,77.999,79,77.999,79,7739,0
NEN.US,60,20250410,190000,77.21,77.25,77.2,77.2,820,0
NEN.US,60,20250417,210000,79.3313,79.3313,79.3313,79.3313,300,0
NEN.US,60,20250421,170000,77,79,77,79,1000,0
NEN.US,60,20250421,190000,79,79,79,79,100,0
NEN.US,60,20250422,220000,77.4,79.01,77.4,79.01,300,0
NEN.US,60,20250423,170000,79,79.0001,79,79.0001,1200,0
NEN.US,60,20250423,190000,79,79,79,79,100,0
NEN.US,60,20250424,220000,78.02,80.01,77.4,77.4,1257,0
NEN.US,60,20250425,210000,76.95,76.95,76.95,76.95,600,0
NEN.US,60,20250429,180000,78.75,78.75,78.75,78.75,100,0
NEN.US,60,20250430,210000,78.3,78.3,78.107,78.107,250,0
NEN.US,60,20250507,220000,76.05,77.25,76,77.25,864,0
NEN.US,60,20250512,170000,79.85,79.85,79.85,79.85,198,0
NEN.US,60,20250512,210000,79.85,79.85,79.85,79.85,108,0
NEN.US,60,20250516,220000,75.91,75.91,75.91,75.91,100,0
NEN.US,60,20250520,180000,78.14,79,78.14,79,432,0
NEN.US,60,20250520,190000,76,76,76,76,110,0
NEN.US,60,20250520,220000,78.5,78.5,77,77,375,0
NEN.US,60,20250521,190000,77.1,77.1,77.1,77.1,100,0
NEN.US,60,20250527,210000,75.99,76,75.99,76,680,0
NEN.US,60,20250527,220000,75,75,74.5,74.99,2430,0
NEN.US,60,20250528,170000,75,75,75,75,700,0
NEN.US,60,20250528,190000,73.9875,75,73.953,73.953,2150,0
NEN.US,60,20250528,200000,74,74,74,74,175,0
NEN.US,60,20250530,180000,74.75,75,74.75,75,879,0
NEN.US,60,20250530,190000,74.95,74.95,74.95,74.95,100,0
NEN.US,60,20250530,200000,75,75,75,75,100,0
NEN.US,60,20250530,220000,74.995,75,74.995,75,247,0
NEN.US,60,20250602,160000,73,73.1484,73,73.02,606,0
NEN.US,60,20250602,180000,74.01,74.01,74.01,74.01,100,0
NEN.US,60,20250602,190000,74.05,74.05,74,74.01,300,0
NEN.US,60,20250603,170000,74.99,74.99,74.99,74.99,100,0
NEN.US,60,20250604,180000,75,75,73.96,73.96,500,0
NEN.US,60,20250605,170000,75,75,75,75,100,0
NEN.US,60,20250605,180000,74.01,74.01,74.01,74.01,150,0
NEN.US,60,20250605,190000,74.55,74.55,74.55,74.55,100,0
NEN.US,60,20250605,200000,74.51,74.51,74.51,74.51,100,0
NEN.US,60,20250605,210000,74.6456,75,74.6456,74.8211,600,0
NEN.US,60,20250610,200000,74,74.5,74,74.5,342,0
NEN.US,60,20250610,220000,74.06,74.06,74.0011,74.0011,535,0
NEN.US,60,20250611,190000,74.49,74.5,74.49,74.5,550,0
NEN.US,60,20250612,180000,73,73,73,73,100,0
NEN.US,60,20250612,220000,74.5,74.5,74.5,74.5,488,0
NEN.US,60,20250617,200000,74.5,74.5,74.49,74.5,1526,0
NEN.US,60,20250618,170000,74,74,73.99,74,600,0
NEN.US,60,20250618,190000,73,73,73,73,100,0
NEN.US,60,20250618,210000,73.03,73.03,73.01,73.01,233,0
NEN.US,60,20250618,220000,73,73,73,73,393,0
NEN.US,60,20250620,190000,74.49,74.49,74.49,74.49,100,0
NEN.US,60,20250620,220000,74.45,74.49,74.45,74.49,200,0
NEN.US,60,20250625,200000,73.04,74.4801,73.02,73.02,440,0
NEN.US,60,20250627,170000,73.11,73.11,73.11,73.11,109,0
NEN.US,60,20250627,180000,73.01,73.01,73.01,73.01,300,0
NEN.US,60,20250630,190000,73.05,73.05,73.01,73.05,468,0
NEN.US,60,20250630,200000,73.05,73.25,73.05,73.25,240,0
NEN.US,60,20250630,210000,73.5,73.5,73.05,73.05,531,0
NEN.US,60,20250630,220000,73.1,73.1,73.1,73.1,201,0
NEN.US,60,20250701,160000,73.04,73.04,73.04,73.04,141,0
NEN.US,60,20250702,210000,73.25,73.25,73.24,73.24,500,0
NEN.US,60,20250708,160000,73.99,73.99,73.99,73.99,165,0
NEN.US,60,20250708,190000,74,74,74,74,100,0
NEN.US,60,20250714,200000,74,74,73.14,73.14,522,0
NEN.US,60,20250717,180000,73.25,73.25,73.25,73.25,300,0
NEN.US,60,20250721,160000,73.03,73.25,73.03,73.25,300,0
