<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVG.US,60,20240411,160000,11.78,11.78,11.72,11.72,73580,0
NVG.US,60,20240411,170000,11.72,11.735,11.7,11.735,52261,0
NVG.US,60,20240411,180000,11.735,11.75,11.73,11.735,123428,0
NVG.US,60,20240411,190000,11.735,11.745,11.73,11.735,71415,0
NVG.US,60,20240411,200000,11.735,11.76,11.735,11.7538,88947,0
NVG.US,60,20240411,210000,11.7514,11.78,11.75,11.7699,82419,0
NVG.US,60,20240411,220000,11.765,11.77,11.75,11.75,75619,0
NVG.US,60,20240412,160000,11.715,11.775,11.7,11.76,50713,0
NVG.US,60,20240412,170000,11.76,11.77,11.7452,11.7531,34557,0
NVG.US,60,20240412,180000,11.755,11.7599,11.74,11.74,20012,0
NVG.US,60,20240412,190000,11.745,11.745,11.7302,11.7302,6753,0
NVG.US,60,20240412,200000,11.735,11.75,11.735,11.74,20326,0
NVG.US,60,20240412,210000,11.73,11.74,11.72,11.7271,32795,0
NVG.US,60,20240412,220000,11.7299,11.7299,11.7,11.7,66726,0
NVG.US,60,20240415,160000,11.65,11.66,11.62,11.63,136093,0
NVG.US,60,20240415,170000,11.6311,11.635,11.6,11.605,168120,0
NVG.US,60,20240415,180000,11.6001,11.62,11.6001,11.615,38124,0
NVG.US,60,20240415,190000,11.615,11.62,11.6,11.61,102157,0
NVG.US,60,20240415,200000,11.6109,11.6109,11.6,11.6005,55329,0
NVG.US,60,20240415,210000,11.609,11.61,11.58,11.58,84979,0
NVG.US,60,20240415,220000,11.58,11.59,11.58,11.59,74739,0
NVG.US,60,20240416,160000,11.55,11.58,11.53,11.55,78544,0
NVG.US,60,20240416,170000,11.55,11.64,11.55,11.625,126234,0
NVG.US,60,20240416,180000,11.625,11.6609,11.62,11.65,53947,0
NVG.US,60,20240416,190000,11.65,11.67,11.65,11.65,53409,0
NVG.US,60,20240416,200000,11.65,11.665,11.63,11.6403,137708,0
NVG.US,60,20240416,210000,11.645,11.69,11.645,11.66,77803,0
NVG.US,60,20240416,220000,11.66,11.66,11.61,11.61,83524,0
NVG.US,60,20240417,160000,11.64,11.665,11.6253,11.6605,72749,0
NVG.US,60,20240417,170000,11.65,11.65,11.59,11.615,106125,0
NVG.US,60,20240417,180000,11.62,11.63,11.6001,11.62,39132,0
NVG.US,60,20240417,190000,11.62,11.63,11.6139,11.625,23184,0
NVG.US,60,20240417,200000,11.63,11.65,11.63,11.6399,11838,0
NVG.US,60,20240417,210000,11.64,11.69,11.6399,11.685,55771,0
NVG.US,60,20240417,220000,11.681,11.69,11.625,11.63,175535,0
NVG.US,60,20240418,160000,11.63,11.645,11.6,11.615,31499,0
NVG.US,60,20240418,170000,11.62,11.63,11.611,11.625,24915,0
NVG.US,60,20240418,180000,11.625,11.65,11.625,11.635,21928,0
NVG.US,60,20240418,190000,11.6303,11.6315,11.6,11.6,18254,0
NVG.US,60,20240418,200000,11.6029,11.6099,11.6,11.605,28493,0
NVG.US,60,20240418,210000,11.6,11.62,11.6,11.6138,40505,0
NVG.US,60,20240418,220000,11.6102,11.625,11.6,11.61,84245,0
NVG.US,60,20240419,160000,11.66,11.67,11.657,11.67,22665,0
NVG.US,60,20240419,170000,11.665,11.665,11.64,11.64,19283,0
NVG.US,60,20240419,180000,11.645,11.65,11.63,11.6433,25300,0
NVG.US,60,20240419,190000,11.64,11.64,11.62,11.625,14975,0
NVG.US,60,20240419,200000,11.625,11.63,11.62,11.625,7644,0
NVG.US,60,20240419,210000,11.625,11.625,11.59,11.5901,59957,0
NVG.US,60,20240419,220000,11.5911,11.595,11.53,11.54,203332,0
NVG.US,60,20240422,160000,11.54,11.558,11.54,11.555,53914,0
NVG.US,60,20240422,170000,11.55,11.555,11.51,11.52,95028,0
NVG.US,60,20240422,180000,11.525,11.54,11.52,11.535,49208,0
NVG.US,60,20240422,190000,11.535,11.56,11.53,11.55,79268,0
NVG.US,60,20240422,200000,11.55,11.555,11.54,11.54,41500,0
NVG.US,60,20240422,210000,11.54,11.55,11.53,11.55,21931,0
NVG.US,60,20240422,220000,11.54,11.55,11.53,11.53,56655,0
NVG.US,60,20240423,160000,11.56,11.605,11.54,11.6,47424,0
NVG.US,60,20240423,170000,11.595,11.6299,11.59,11.615,56682,0
NVG.US,60,20240423,180000,11.615,11.62,11.5952,11.615,26135,0
NVG.US,60,20240423,190000,11.6192,11.64,11.6183,11.64,22903,0
NVG.US,60,20240423,200000,11.6301,11.645,11.62,11.64,62256,0
NVG.US,60,20240423,210000,11.6314,11.64,11.63,11.635,24557,0
NVG.US,60,20240423,220000,11.64,11.65,11.62,11.65,148022,0
NVG.US,60,20240424,160000,11.64,11.65,11.62,11.64,58838,0
NVG.US,60,20240424,170000,11.6309,11.64,11.6,11.605,40358,0
NVG.US,60,20240424,180000,11.605,11.61,11.6,11.6016,42524,0
NVG.US,60,20240424,190000,11.605,11.62,11.6,11.62,49194,0
NVG.US,60,20240424,200000,11.62,11.62,11.61,11.62,23329,0
NVG.US,60,20240424,210000,11.6111,11.6181,11.6,11.6036,96206,0
NVG.US,60,20240424,220000,11.6,11.61,11.58,11.6,125055,0
NVG.US,60,20240425,160000,11.51,11.5491,11.51,11.532,54617,0
NVG.US,60,20240425,170000,11.5399,11.547,11.52,11.52,57796,0
NVG.US,60,20240425,180000,11.52,11.52,11.505,11.51,70875,0
NVG.US,60,20240425,190000,11.5103,11.52,11.51,11.515,43770,0
